,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
149,-0.008845,-1.019127,-0.015494,-4.405625,0.004375,-0.3675,-0.650395,0.318036,0.081263,-88.391006,-0.30047,-170.872269,0.006966,0.049365,0.016705
150,-0.007320,-1.024007,-0.014335,-6.636875,0.109375,-0.3325,-0.650395,0.318036,0.081263,-88.506569,-0.298765,-170.887543,0.008523,0.040413,0.024378
151,-0.006466,-1.019981,-0.025132,-6.58875,-0.04375,-0.27125,-0.650395,0.318036,0.081263,-88.670288,-0.297474,-170.900620,0.004143,0.050532,0.019477
152,-0.006588,-1.024312,-0.014457,-7.371875,-0.07,-0.4725,-0.650395,0.318036,0.081263,-88.832535,-0.298778,-170.915359,0.006158,0.036770,0.023993
153,-0.008906,-1.02236,-0.032086,-9.104375,0.035,-0.371875,-0.650395,0.318036,0.081263,-89.052422,-0.296816,-170.930176,0.006256,0.050624,0.021858
154,-0.006466,-1.016809,-0.042456,-6.83375,0.144375,-0.39375,-0.650395,0.318036,0.081263,-89.232262,-0.295974,-170.945389,0.001222,0.058254,0.014336
155,-0.007015,-1.024678,-0.032513,-6.908125,0.074375,-0.266875,-0.650395,0.318036,0.081263,-89.358482,-0.2955,-170.954590,0.005761,0.043660,0.022863
156,-0.008479,-1.020286,-0.043737,-8.474375,-0.07875,-0.214375,-0.650395,0.318036,0.081263,-89.558258,-0.292767,-170.970032,0.004294,0.052948,0.020092
157,-0.009089,-1.020774,-0.044774,-8.185625,-0.048125,-0.284375,-0.650395,0.318036,0.081263,-89.747391,-0.291256,-170.986313,0.006338,0.050911,0.020733
158,-0.010370,-1.015711,-0.060146,-9.086875,-0.021875,-0.424375,-0.650395,0.318036,0.081263,-89.974434,-0.289551,-171.003540,0.005793,0.062290,0.015836
159,-0.004758,-1.013576,-0.068747,-4.108125,-0.035,-0.336875,-0.650395,0.318036,0.081263,-90.132011,-0.289152,171.020920,-0.000186,0.068415,0.012604
160,-0.008540,-1.024861,-0.053131,-5.95,-1.045625,-0.293125,-0.650395,0.318036,0.081263,-90.230743,-0.289271,-171.039871,0.005126,0.046348,0.027302
161,-0.006832,-1.00345,-0.088816,-3.78,0.091875,-0.284375,-0.650395,0.318036,0.081263,-90.385727,-0.288544,-171.057495,-0.001056,0.082926,0.004181
162,-0.006405,-1.025227,-0.055266,2.7825,0.100625,-0.56875,-0.650395,0.318036,0.081263,-90.380524,-0.291494,-171.081345,0.003927,0.049681,0.025750
163,-0.006344,-1.022604,-0.058255,-4.195625,0.0,-0.406875,-0.650395,0.318036,0.081263,-90.452209,-0.293356,-171.103806,0.003640,0.051379,0.023208
164,-0.010309,-1.010099,-0.080459,-1.09375,0.153125,-0.415625,-0.650395,0.318036,0.081263,-90.542488,-0.293281,-171.126816,0.000917,0.072825,0.010112
165,-0.010248,-1.024739,-0.057462,0.966875,0.16625,-0.32375,-0.650395,0.318036,0.081263,-90.546707,-0.293498,-171.145416,0.007217,0.053621,0.022813
166,-0.006161,-1.020225,-0.06344,-1.8725,0.09625,-0.284375,-0.650395,0.318036,0.081263,-90.600403,-0.293332,-171.167923,0.005583,0.054263,0.020996
167,-0.008784,-1.012966,-0.077836,-1.850625,0.1575,-0.385,-0.650395,0.318036,0.081263,-90.685883,-0.293249,-171.191589,0.003704,0.067083,0.013979
168,-0.007686,-1.020225,-0.066185,1.089375,0.105,-0.3675,-0.650395,0.318036,0.081263,-90.714272,-0.293861,-171.214615,0.004563,0.054818,0.021137
169,-0.007076,-1.025105,-0.066002,-5.5825,0.074375,-0.37625,-0.650395,0.318036,0.081263,-90.817581,-0.295618,-171.236130,0.004356, 0.048475,0.026817
170,-0.003904,-1.013454,-0.079971,-5.31125,0.021875,-0.32375,-0.650395,0.318036,0.081263,-90.958015,-0.294569,-171.253006,0.002584,0.063754,0.014073
171,-0.008174,-1.017602,-0.078263,-1.2775,0.07875,-0.39375,-0.650395,0.318036,0.081263,-91.049263,-0.293542,-171.275360,0.005230,0.061157,0.017798
172,-0.009882,-1.013515,-0.085278,-1.203125,0.091875,-0.249375,-0.650395,0.318036,0.081263,-91.110832,-0.292587,-171.298370,0.004923,0.067151,0.015124
173,-0.006039,-1.024617,-0.062098,0.048125,0.144375,-0.354375,-0.650395,0.318036,0.081263,-91.136948,-0.293122,-171.323120,0.004817,0.042988,0.025827
174,-0.006527,-1.013149,-0.084607,-1.98625,0.126875,-0.30625,-0.650395,0.318036,0.081263,-91.217186,-0.29402,-171.346054,0.002434,0.061417,0.018343
175,-0.008845,-1.011929,-0.09211,2.883125,0.223125,-0.37625,-0.650395,0.318036,0.081263,-91.232552,-0.294216,-171.366089,0.003699,0.072096,0.010290
176,-0.008479,-1.032486,-0.058377,1.26,0.07,-0.424375,-0.650395,0.318036,0.081263,-91.204727,-0.294589,-171.391785,0.006964,0.038141,0.033662
177,-0.006893,-1.010221,-0.08906,-1.39125,0.170625,-0.415625,-0.650395,0.318036,0.081263,-91.274673,-0.295788,-171.415268,0.002003,0.067642,0.012111
178,-0.010492,-1.015894,-0.084668,3.014375,0.083125,-0.380625,-0.650395,0.318036,0.081263,-91.277367,-0.295567,-171.438385,0.006294,0.063666,0.017673
179,-0.008479,-1.022604,-0.062891,0.179375,0.118125,-0.424375,-0.650395,0.318036,0.081263,-91.269547,-0.295372,-171.462082,0.007892,0.041165,0.028104
180,-0.006527,-1.013698,-0.085644,0.88375,0.1925,-0.301875,-0.650395,0.318036,0.081263,-91.299362,-0.294023,-171.480652,0.002264,0.064605,0.013427
181,-0.003050,-1.01809,-0.078934,1.35625,0.144375,-0.284375,-0.650395,0.318036,0.081263,-91.302048,-0.294488,-171.504974,0.001975,0.056698,0.020345
182,-0.006832,-1.017175,-0.076006,1.25125,0.04375,-0.450625,-0.650395,0.318036,0.081263,-91.304123,-0.295484,-171.528351,0.004129,0.054051,0.018809
183,-0.007503,-1.018883,-0.075457,1.719375,0.188125,-0.4025,-0.650395,0.318036,0.081263,-91.300407,-0.29565,-171.551361,0.004903,0.053633,0.020498
184,-0.007686,-1.015223,-0.081008,1.238125,0.223125,-0.293125,-0.650395,0.318036,0.081263,-91.30687,-0.296385,-171.575302,0.004293,0.059117,0.001476
185,-0.007320,-1.019371,-0.067527,3.110625,0.13125,-0.37625,-0.650395,0.318036,0.081263,-91.27787,-0.299044,-171.595779,0.003306,0.048859,0.020443
186,-0.008967,-1.020469,-0.07015,0.7875,0.196875,-0.42875,-0.650395,0.318036,0.081263,-91.271988,-0.299344,-171.617905,0.005480,0.049414,0.022748
187,-0.007625,-1.015467,-0.073871,0.739375,0.118125,-0.32375,-0.650395,0.318036,0.081263,-91.287254,-0.299026,-171.639359,0.005333,0.052388,0.017033
