,xl_x: g,xl_y: g,xl_z: g,gr_x: deg/s,gr_y: deg/s,gr_z: deg/s,mg_x/gauss,mg_y/gauss,mg_z/gauss,orient_x/deg,orient_y/deg,orient_z/deg,pos_x/m,pos_y/m,pos_z/m
545,0.065453,-0.930799,-0.506727,-15.076250,-0.266875,2.550625,0.18328,0.379421,-0.442414,-114.340706,-3.526073,70.208168,0.073799,-0.026433,0.048122
546,0.061671,-0.927993,-0.454999,-9.310000,0.835625,2.139375,0.18328,0.379421,-0.442414,-114.557686,-3.489538,70.187668,0.026282,-0.01109,0.035124
547,0.075213,-0.937875,-0.485316,-1.452500,1.890000,1.421875,0.18328,0.379421,-0.442414,-114.643295,-3.475549,70.151367,0.05111,-0.006831,0.057563
548,0.092781,-0.967094,-0.422547,-11.156250,1.448125,0.800625,0.18328,0.379421,-0.442414,-114.780502,-3.489361,70.123291,-0.010514,0.03379,0.059002
549,0.066002,-0.925919,-0.446337,-16.782499,0.914375,-1.085,0.18328,0.379421,-0.442414,-115.114830,-3.504848,70.115746,0.017032,-0.000713,0.019972
550,0.074969,-0.915793,-0.481351,-20.965000,0.805000,-0.529375,0.18328,0.379421,-0.442414,-115.530159,-3.524019,70.11335,0.039721,-0.000987,0.039122
551,0.057096,-0.904691,-0.465552,-19.105625,0.875000,-1.193125,0.18328,0.379421,-0.442414,-115.921661,-3.55044,70.115143,0.023824,-0.008699,0.012886
552,0.052826,-0.879071,-0.459391,-32.720627,-0.280000,-1.386875,0.18328,0.379421,-0.442414,-116.488922,-3.570336,70.136612,0.005937,-0.00919,0.006452
553,0.055815,-0.866993,-0.556076,-13.947500,0.945000,-1.58375,0.18328,0.379421,-0.442414,-117.014481,-3.601757,70.155113,0.099462,-0.043109,0.029052
554,0.050081,-0.941535,-0.44591,-19.271875,0.310625,-2.191875,0.18328,0.379421,-0.442414,-117.346588,-3.63812,70.169273,-0.029333,-0.004281,0.035079
555,0.038857,-0.855037,-0.527955,-49.542500,-2.318750,-2.44125,0.18328,0.379421,-0.442414,-118.305634,-3.655605,70.23159,0.032279,-0.035364,0.015243
556,0.028365,-0.809165,-0.638792,-9.638125,0.638750,-2.769375,0.18328,0.379421,-0.442414,-118.782280,-3.69045,70.288559,0.15542,-0.094205,0.01071
557,0.04758,-0.93452,-0.497943,-7.420000,-0.323750,-3.189375,0.18328,0.379421,-0.442414,-118.854668,-3.737914,70.321152,-0.021034,-0.015568,0.059788
558,0.039589,-0.85339,-0.590846,-36.680000,-2.152500,-3.5175,0.18328,0.379421,-0.442414,-119.567642,-3.758946,70.398605,0.078162,-0.05806,0.03427
559,0.041602,-0.770003,-0.679052,-16.782499,-0.218750,-4.291875,0.18328,0.379421,-0.442414,-120.074226,-3.811544,70.466888,0.181904,-0.09171,0.007207
560,0.055144,-0.798429,-0.598654,0.525000,0.686875,-4.668125,0.18328,0.379421,-0.442414,-120.185013,-3.886466,70.52047,0.105567,-0.050445,-0.007303
561,0.050142,-0.846741,-0.56486,-18.528126,-1.338750,-5.08375,0.18328,0.379421,-0.442414,-120.444344,-3.958471,70.594124,0.048176,-0.038516,0.017344
